student_id,attendance_pct,study_hours_per_day,assignment_score_pct,internal_marks_pct,previous_gpa,previous_backlogs,sleep_hours,class_participation_pct,risk_level
S0001,87.6,4.1,71.8,71.6,7.78,2,8.7,31.5,Medium
S0002,69.1,6.2,70.8,72.4,8.86,3,5.9,84.8,Medium
S0003,92.2,7.3,88.9,43.1,8.64,2,5.7,76.4,Low
S0004,83.4,5.9,81.2,76.6,9.41,2,9.0,62.4,Low
S0005,50.2,7.7,36.7,75.5,8.93,1,7.7,49.9,Low
S0006,98.7,6.4,38.2,76.0,5.86,0,4.7,73.5,Low
S0007,86.9,7.0,74.1,39.4,7.56,1,4.8,85.0,Medium
S0008,88.2,1.4,66.6,61.8,6.14,2,4.6,90.5,High
S0009,52.0,6.0,51.9,59.5,6.31,0,7.2,63.8,Medium
S0010,69.8,3.8,62.2,40.2,9.63,0,4.8,85.6,Medium
S0011,65.4,4.6,84.3,48.3,8.25,1,8.7,60.9,Medium
S0012,96.0,5.4,88.7,61.5,9.86,3,8.7,58.0,Low
S0013,80.4,7.8,71.5,79.6,6.79,2,7.0,89.2,Low
S0014,90.3,7.9,60.0,49.2,7.46,2,7.3,50.9,Medium
S0015,69.4,2.7,52.6,84.8,7.18,2,5.8,51.7,Medium
S0016,57.5,6.0,68.9,67.7,5.09,0,4.8,44.4,Medium
S0017,75.5,6.1,55.5,80.6,5.8,1,7.8,61.5,Medium
S0018,48.5,3.1,71.7,63.4,7.4,0,5.0,63.6,Medium
S0019,90.5,1.4,79.0,65.0,4.87,3,4.9,72.8,High
S0020,79.7,0.8,39.3,72.2,9.62,3,5.9,54.4,High
S0021,86.7,6.3,35.1,90.7,5.18,1,4.6,37.4,Medium
S0022,64.5,4.2,48.8,64.5,5.59,1,6.5,89.3,Medium
S0023,98.4,7.9,93.1,66.7,8.71,1,7.7,47.7,Low
S0024,94.1,4.0,77.0,71.1,5.03,3,8.1,93.8,Medium
S0025,87.8,7.8,46.2,79.3,9.45,1,7.2,36.6,Low
S0026,55.7,3.6,92.9,39.3,8.49,3,8.3,64.8,High
S0027,70.7,6.5,65.5,65.9,4.88,1,6.3,62.9,Medium
